Numero	Propriedade
0	CAP_PROP_POS_MSEC Current position of the video file in milliseconds or video capture timestamp.
1	CAP_PROP_POS_FRAMES 0-based index of the frame to be decoded/captured next.
2	CAP_PROP_POS_AVI_RATIO Relative position of the video file: 0 – start of the film, 1 – end of the film.
3	CAP_PROP_FRAME_WIDTH Width of the frames in the video stream.
4	CAP_PROP_FRAME_HEIGHT Height of the frames in the video stream.
5	CAP_PROP_FPS Frame rate.
6	CAP_PROP_FOURCC 4-character code of codec.
7	CAP_PROP_FRAME_COUNT Number of frames in the video file.
8	CAP_PROP_FORMAT Format of the Mat objects returned by retrieve() .
9	CAP_PROP_MODE Backend-specific value indicating the current capture mode.
10	CAP_PROP_BRIGHTNESS Brightness of the image (only for cameras).
11	CAP_PROP_CONTRAST Contrast of the image (only for cameras).
12	CAP_PROP_SATURATION Saturation of the image (only for cameras).
13	CAP_PROP_HUE Hue of the image (only for cameras).
14	CAP_PROP_GAIN Gain of the image (only for cameras).
15	CAP_PROP_EXPOSURE Exposure (only for cameras).
16	CAP_PROP_CONVERT_RGB Boolean flags indicating whether images should be converted to RGB.
17	CAP_PROP_WHITE_BALANCE Currently not supported
18	CAP_PROP_RECTIFICATION Rectification flag for stereo cameras (note: only supported by DC1394 v 2.x backend currently)
